file_path,label
word_doc/anassessmentof.docx,1
word_doc/applyingmachine.docx,0
word_doc/bigdataanalytics.docx,1
word_doc/culturalchallenges.docx,1
word_doc/Energyconsumption.docx,1
word_doc/Enhancinglocal.docx,0
word_doc/Environmentaland.docx,1
word_doc/Integrated_Risk_Assessment.docx,1
word_doc/Internalcontrols.docx,1
word_doc/Leftbehindemerging.docx,1
word_doc/Liquifiedpetroleum.docx,1
word_doc/Oilypolitics.docx,0
word_doc/Safetyclimate.docx,0
word_doc/Safetycompliance.docx,1
word_doc/Systematicqualityassessment.docx,0
word_doc/Theimpact.docx,1
word_doc/Wholepetroleum.docx,0
word_doc/Worldwideoil.docx,0
word_doc/Sustainabledevelopment.docx,1
word_doc/Shaleoilandgas.docx,1
word_doc/RiskassessmentofOil.docx,1
word_doc/Reviewonthechallengesand.docx,1
word_doc/Regulatingoilandgas.docx,1
word_doc/ProgressinChinasUnconventionalOilGas.docx,0
word_doc/Migrationandaccumulation.docx,1
word_doc/ImprovingtheSelectivity.docx,0
word_doc/ImprovingManagement.docx,1
word_doc/Globaloilgas.docx,1
word_doc/GascirculardebtGrowingfatal.docx,0
word_doc/Explorationdevelopmentand.docx,1
word_doc/Corrosioninmultiphase.docx,0
word_doc/Analysisoftheworlddeepwater.docx,1
word_doc/Areviewonprospective.docx,1
word_doc/Oilandgaspathwaytonet.docx,1
word_doc/Mostfataloilgaspipeline.docx,1
word_doc/SystemDynamicsApproachtoEvaluate.docx,1
word_doc/Fiscalpolicyinoiland.docx,1
word_doc/Emerginginteractionofartificial.docx,0
word_doc/Upstreamoilandgasmergers.docx,1
word_doc/Experimentalassessmentof.docx,1
word_doc/TechnicalSummaryofOil.docx,1
word_doc/Sustainabledevelopmentgoals.docx,1
